Artemi Panarin,NYR,1
Brad Marchand,BOS,1
Connor McDavid,EDM,1
Jonathan Huberdeau,FLA,1
Nikita Kucherov,TBL,1
Alex DeBrincat,CHI,2
Auston Matthews,TOR,2
Mikko Rantanen,COL,2
Roope Hintz,DAL,2
Sebastian Aho,CAR,2
Leon Draisaitl,EDM,3
Mark Scheifele,WPG,3
Mitchell Marner,TOR,3
Nathan MacKinnon,COL,3
Ryan O'Reilly,STL,3
Blake Wheeler,WPG,4
Martin Necas,CAR,4
Nicklas Backstrom,WSH,4
Patrick Kane,CHI,4
Ryan Strome,NYR,4
Brayden Point,TBL,5
Elias Lindholm,CGY,5
Evgeni Malkin,PIT,5
Kirill Kaprizov,MIN,5
Nikolaj Ehlers,WPG,5
Mark Stone,VGK,6
Matthew Tkachuk,CGY,6
Ryan Nugent-Hopkins,EDM,6
Tomas Hertl,SJS,6
Tyler Seguin,DAL,6
David Perron,STL,7
Jason Robertson,DAL,7
Jonathan Toews,CHI,7
Max Pacioretty,VGK,7
Travis Konecny,PHI,7
Claude Giroux,PHI,8
Conor Garland,VAN,8
John Tavares,TOR,8
Pavel Buchnevich,STL,8
Taylor Hall,BOS,8
Andrei Svechnikov,CAR,9
Jonathan Marchessault,VGK,9
Phil Kessel,ARI,9
Sean Couturier,PHI,9
Zach Hyman,EDM,9
Alex Ovechkin,WSH,10
Brady Tkachuk,OTT,10
Brock Boeser,VAN,10
Evander Kane,SJS,10
Johnny Gaudreau,CGY,10
Dominik Kubalik,CHI,11
Kyle Connor,WPG,11
Logan Couture,SJS,11
Patrice Bergeron,BOS,11
Tom Wilson,WSH,11
Anders Lee,NYI,12
Elias Pettersson,VAN,12
Sidney Crosby,PIT,12
Steven Stamkos,TBL,12
William Karlsson,VGK,12
Brock Nelson,NYI,13
Bryan Rust,PIT,13
Nick Suzuki,MTL,13
Ondrej Palat,TBL,13
Tyler Bertuzzi,DET,13
Aleksander Barkov,FLA,14
Jamie Benn,DAL,14
Kevin Fiala,MIN,14
Mathew Barzal,NYI,14
Patrik Laine,CBJ,14
David Pastrnak,BOS,15
Gabriel Landeskog,COL,15
Jean-Gabriel Pageau,NYI,15
Teuvo Teravainen,CAR,15
Timo Meier,SJS,15
Adam Fox,NYR,16
Cale Makar,COL,16
John Carlson,WSH,16
Shea Theodore,VGK,16
Victor Hedman,TBL,16
Aaron Ekblad,FLA,17
Alec Martinez,VGK,17
John Klingberg,DAL,17
Morgan Rielly,TOR,17
Tyson Barrie,EDM,17
Ivan Provorov,PHI,18
Jeff Petry,MTL,18
Kris Letang,PIT,18
Quinn Hughes,VAN,18
Torey Krug,STL,18
Andrei Vasilevskiy,TBL,19
Connor Hellebuyck,WPG,19
Darcy Kuemper,COL,19
Igor Shesterkin,NYR,19
Robin Lehner,VGK,19
Carey Price,MTL,20
Ilya Samsonov,WSH,20
Semyon Varlamov,NYI,20
Spencer Knight,FLA,20
Thatcher Demko,VAN,20
Cam Talbot,MIN,21
Carter Hart,PHI,21
Jacob Markstrom,CGY,21
Jordan Binnington,STL,21
Juuse Saros,NSH,21
